City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Mwense,ZM,-10.3845,28.698,64.8,42,0,6.35,clear sky
167,Aksu,CN,41.1231,80.2644,73.02,44,3,1.72,clear sky
168,Itarema,BR,-2.9248,-39.9167,79.38,78,20,18.37,few clouds
169,Asyut,EG,27.181,31.1837,87.98,28,0,11.07,clear sky
170,Kudahuvadhoo,MV,2.6708,72.8944,82.67,73,100,11.68,overcast clouds
171,Praya,CV,14.9215,-23.5087,79.34,89,20,4.61,few clouds
172,Tsevie,TG,6.4261,1.2133,76.08,89,99,8.5,overcast clouds
173,Tazovskiy,RU,67.4667,78.7,51.4,74,1,10.49,clear sky
174,East London,ZA,-33.0153,27.9116,62.91,75,32,15.79,scattered clouds
175,Kisangani,CD,0.5167,25.2,71.53,76,34,1.05,scattered clouds
176,Fortuna,US,40.5982,-124.1573,87.19,66,20,4,few clouds
177,Ribeira Grande,PT,38.5167,-28.7,72.86,87,53,16.15,broken clouds
178,Vostok,RU,46.4856,135.8833,55.51,81,100,5.28,overcast clouds
179,Dikson,RU,73.5069,80.5464,41.59,98,2,7.85,clear sky
180,Parabel,RU,58.6978,81.4825,64.11,76,82,3.02,broken clouds
181,Saint-Esteve,FR,42.7131,2.843,68.99,64,0,4.61,clear sky
182,Khatanga,RU,71.9667,102.5,53.06,74,100,11.72,overcast clouds
183,Diapaga,BF,12.0708,1.7889,73.9,92,93,7.81,light rain
184,Ibra,OM,22.6906,58.5334,86.92,43,6,3.56,clear sky
185,Tuatapere,NZ,-46.1333,167.6833,39.81,94,98,5.06,overcast clouds
186,Lagoa,PT,39.05,-27.9833,71.44,87,9,18.5,clear sky
187,Bilma,NE,18.6853,12.9164,92.98,30,34,4.99,scattered clouds
188,Bethel,US,41.3712,-73.414,76.08,80,75,4.61,broken clouds
189,Acarau,BR,-2.8856,-40.12,79.39,78,17,19.35,few clouds
190,Tessalit,ML,20.1986,1.0114,91.18,35,98,8.23,overcast clouds
191,Beringovskiy,RU,63.05,179.3167,43.95,83,100,19.66,overcast clouds
192,Zhigansk,RU,66.7697,123.3711,67.91,32,73,16.04,broken clouds
193,Mar Del Plata,AR,-38.0023,-57.5575,48.22,76,0,9.22,clear sky
194,Juan Lacaze,UY,-34.4342,-57.4381,50.11,94,100,32.17,moderate rain
195,Lubon,PL,52.3471,16.8927,65.39,55,0,11.5,clear sky
196,Hengyang,CN,26.8881,112.615,83.77,83,100,2.55,overcast clouds
197,Portland,US,45.5234,-122.6762,80.38,44,38,3,scattered clouds
198,Qarchi Gak,AF,37.04,66.7889,75.29,15,0,15.55,clear sky
199,Gamba,GA,-2.65,10,71.26,88,49,5.5,scattered clouds
200,Coquimbo,CL,-29.9533,-71.3436,55.13,82,20,6.91,few clouds
201,Dingle,PH,10.9995,122.6711,77.41,90,100,0.6,heavy intensity rain
202,Alofi,NU,-19.0595,-169.9187,78.69,83,95,10.36,light rain
203,Lengshuitan,CN,26.4111,111.5956,84.11,79,100,2.55,overcast clouds
204,Kununurra,AU,-15.7667,128.7333,71.58,30,1,5.75,clear sky
205,Hasaki,JP,35.7333,140.8333,88.2,80,70,24.47,broken clouds
206,Barra Do Garcas,BR,-15.89,-52.2567,74.41,36,9,0.81,clear sky
207,Tuktoyaktuk,CA,69.4541,-133.0374,50,71,75,6.91,broken clouds
208,Tasiilaq,GL,65.6145,-37.6368,42.51,94,100,21.12,light rain
209,Upernavik,GL,72.7868,-56.1549,41.16,85,99,3.51,overcast clouds
210,Ancud,CL,-41.8697,-73.8203,43.43,85,13,4.32,few clouds
211,Avera,US,33.194,-82.5271,89.65,73,91,4.32,overcast clouds
212,Urucara,BR,-2.5364,-57.76,82.99,52,85,2.3,overcast clouds
